Time,Node,State,Running jobs,Expected jobs
1.40874e+06,Syn_12,allocated,214,none
1.40874e+06,Syn_14,allocated,214,none
1.40874e+06,Syn_15,allocated,214,none
1.40874e+06,Syn_16,allocated,214,none
1.40874e+06,Syn_17,allocated,214,none
1.40874e+06,Syn_20,allocated,214,none
1.40874e+06,Syn_21,allocated,214,none
1.40874e+06,Syn_23,allocated,214,none
1.40916e+06,Syn_0,free,none,none
1.40916e+06,Syn_1,free,none,none
1.40916e+06,Syn_10,free,none,none
1.40916e+06,Syn_11,free,none,none
1.40916e+06,Syn_13,free,none,none
1.40916e+06,Syn_22,free,none,none
1.40916e+06,Syn_29,free,none,none
1.40916e+06,Syn_3,free,none,none
1.40916e+06,Syn_0,allocated,215,none
1.40916e+06,Syn_1,allocated,215,none
1.40916e+06,Syn_10,allocated,215,none
1.40916e+06,Syn_11,allocated,215,none
1.40916e+06,Syn_13,allocated,215,none
1.40916e+06,Syn_22,allocated,215,none
1.40916e+06,Syn_29,allocated,215,none
1.40916e+06,Syn_3,allocated,215,none
1.40916e+06,Syn_4,allocated,216,none
1.40916e+06,Syn_5,allocated,216,none
1.40916e+06,Syn_6,allocated,216,none
1.40916e+06,Syn_7,allocated,216,none
1.41182e+06,Syn_18,free,none,none
1.41182e+06,Syn_19,free,none,none
1.41182e+06,Syn_18,allocated,217,none
1.41182e+06,Syn_19,allocated,217,none
1.41182e+06,Syn_8,allocated,217,none
1.41182e+06,Syn_9,allocated,217,none
1.43281e+06,Syn_2,free,none,none
1.43281e+06,Syn_24,free,none,none
1.43281e+06,Syn_25,free,none,none
1.43281e+06,Syn_26,free,none,none
1.43281e+06,Syn_27,free,none,none
1.43281e+06,Syn_28,free,none,none
1.43281e+06,Syn_30,free,none,none
1.43281e+06,Syn_31,free,none,none
1.43281e+06,Syn_2,allocated,218,none
1.43281e+06,Syn_24,allocated,218,none
1.43286e+06,Syn_25,allocated,219,none
1.43286e+06,Syn_26,allocated,219,none
1.43286e+06,Syn_27,allocated,219,none
1.43286e+06,Syn_28,allocated,219,none
1.43288e+06,Syn_30,allocated,220,none
1.43298e+06,Syn_30,free,none,none
1.43819e+06,Syn_4,free,none,none
1.43819e+06,Syn_5,free,none,none
1.43819e+06,Syn_6,free,none,none
1.43819e+06,Syn_7,free,none,none
1.44125e+06,Syn_18,free,none,none
1.44125e+06,Syn_19,free,none,none
1.44125e+06,Syn_8,free,none,none
1.44125e+06,Syn_9,free,none,none
1.44125e+06,Syn_18,allocated,221,none
1.44125e+06,Syn_19,allocated,221,none
1.44125e+06,Syn_30,allocated,221,none
1.44125e+06,Syn_31,allocated,221,none
1.44125e+06,Syn_4,allocated,221,none
1.44125e+06,Syn_5,allocated,221,none
1.44125e+06,Syn_6,allocated,221,none
1.44125e+06,Syn_7,allocated,221,none
1.44126e+06,Syn_8,allocated,222,none
1.44136e+06,Syn_8,free,none,none
1.44431e+06,Syn_12,free,none,none
1.44431e+06,Syn_14,free,none,none
1.44431e+06,Syn_15,free,none,none
1.44431e+06,Syn_16,free,none,none
1.44431e+06,Syn_17,free,none,none
1.44431e+06,Syn_20,free,none,none
1.44431e+06,Syn_21,free,none,none
1.44431e+06,Syn_23,free,none,none
1.44431e+06,Syn_12,allocated,223,none
1.44431e+06,Syn_14,allocated,223,none
1.44431e+06,Syn_15,allocated,223,none
1.44431e+06,Syn_16,allocated,223,none
1.44431e+06,Syn_17,allocated,223,none
1.44431e+06,Syn_20,allocated,223,none
1.44431e+06,Syn_21,allocated,223,none
1.44431e+06,Syn_23,allocated,223,none
1.44493e+06,Syn_0,free,none,none
1.44493e+06,Syn_1,free,none,none
1.44493e+06,Syn_10,free,none,none
1.44493e+06,Syn_11,free,none,none
1.44493e+06,Syn_13,free,none,none
1.44493e+06,Syn_22,free,none,none
